BSWAP	Byte swap
MOV	Load and store debug registers
LAR	Load access rights
LSL	Load segment limit
RDPMC	Read performance monitoring counter
RDTSC	Read time stamp counter
RDTSCP	Read time stamp counter and processor ID
CLTS	Clear the task-switched flag
ARPL	Adjust requested privilege level
INVD	Invalidate cache, no write back
WBINVD	Invalidate cache, with write back
INVLPG	Invalidate TLB entry
INVPCID	Invalidate process-context identifier
LOCK	Lock bus (prefix)
HLT	Halt processor
SYSENTER	Fast system call, transfers to a flat protected mode kernel at CPL = 0
SYSEXIT	Fast system call, transfers to a flat protected mode kernel at CPL = 3
SYSCALL	Fast call to privilege level 0 system procedures
SYSRET	Return from fast system call
RSM	Return from system management mode (SMM)
SWAPGS	Exchanges current GS base register value with value in MSR address 0xC0000102
RDPKRU	Read protection key rights for user pages
WRPKRU	Write data to user page key register
